occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill
11-1011,Chief Executives,820.0,0.94,328500.0,Chief Executives,0.0333,204350,269630.0,Management,27.306,269370000.0
17-2112,Industrial Engineers,740.0,0.48,111430.0,Industrial Engineers,0.0367,365740,109900.0,Architecture & Engineering,27.158,82458200.0
47-2152,"Plumbers, Pipefitters, and Steamfitters",2340.0,1.18,60940.0,"Plumbers, Pipefitters, and Steamfitters",0.0116,465840,72170.0,Construction & Extraction,27.144,142599600.0
39-9041,Residential Advisors,390.0,1.09,42980.0,Residential Advisors,0.067,84760,43990.0,Personal Care & Service,26.130000000000003,16762200.0
49-2011,"Computer, Automated Teller, and Office Machine Repairers",240.0,0.88,48420.0,"Computer, Automated Teller, and Office Machine Repairers",0.1067,65600,50880.0,Installation & Repair,25.608,11620800.0
43-4151,Order Clerks,340.0,1.06,46140.0,Order Clerks,0.0748,75200,48220.0,Office & Administrative Support,25.432000000000002,15687600.0
27-3023,"News Analysts, Reporters, and Journalists",120.0,0.7,61810.0,"News Analysts, Reporters, and Journalists",0.2098,39250,102460.0,"Arts, Design & Media",25.176,7417200.0
19-3051,Urban and Regional Planners,260.0,1.4,81770.0,Urban and Regional Planners,0.0959,44230,94750.0,"Life, Physical & Social Science",24.934,21260200.0
43-5031,Public Safety Telecommunicators,520.0,1.21,54660.0,Public Safety Telecommunicators,0.0465,102500,56740.0,Office & Administrative Support,24.18,28423200.0
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",540.0,1.23,51410.0,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0.0443,103190,53550.0,Personal Care & Service,23.922,27761400.0
11-9081,Lodging Managers,190.0,1.05,76600.0,Lodging Managers,0.1215,42620,78740.0,Management,23.085,14554000.0
29-1123,Physical Therapists,1300.0,1.14,103840.0,Physical Therapists,0.0174,267330,105280.0,Healthcare Practitioners,22.619999999999997,134992000.0
13-2061,Financial Examiners,510.0,1.76,107560.0,Financial Examiners,0.0428,67830,106240.0,Business & Financial,21.828,54855600.0
17-2199,"Engineers, All Other",330.0,0.51,112990.0,"Engineers, All Other",0.0659,154070,125330.0,Architecture & Engineering,21.747,37286700.0
19-3022,Survey Researchers,50.0,1.33,87250.0,Survey Researchers,0.4316,8290,79580.0,"Life, Physical & Social Science",21.58,4362500.0
25-9044,"Teaching Assistants, Postsecondary",210.0,0.3,50900.0,"Teaching Assistants, Postsecondary",0.1002,164090,47670.0,Education & Library,21.041999999999998,10689000.0
51-9198,Helpers--Production Workers,530.0,0.75,40330.0,Helpers--Production Workers,0.0393,165700,41120.0,Production,20.829,21374900.0
21-1091,Health Education Specialists,150.0,0.52,73170.0,Health Education Specialists,0.1376,65690,73280.0,Community & Social Service,20.64,10975500.0
25-4031,Library Technicians,380.0,1.29,44150.0,Library Technicians,0.054,68690,45500.0,Education & Library,20.52,16777000.0
29-1021,"Dentists, General",650.0,1.23,212020.0,"Dentists, General",0.0309,124390,191350.0,Healthcare Practitioners,20.085,137813000.0
37-2021,Pest Control Workers,420.0,0.98,46210.0,Pest Control Workers,0.046,102620,46400.0,Building & Grounds,19.32,19408200.0
25-1124,"Foreign Language and Literature Teachers, Postsecondary",80.0,0.9,78350.0,"Foreign Language and Literature Teachers, Postsecondary",0.2403,19830,89990.0,Education & Library,19.224,6268000.0
43-3071,Tellers,830.0,0.59,45450.0,Tellers,0.0231,329480,42350.0,Office & Administrative Support,19.173,37723500.0
17-2072,"Electronics Engineers, Except Computer",190.0,0.47,114670.0,"Electronics Engineers, Except Computer",0.0999,96900,137280.0,Architecture & Engineering,18.981,21787300.0
33-3021,Detectives and Criminal Investigators,490.0,1.0,99220.0,Detectives and Criminal Investigators,0.0374,114430,99430.0,Protective Service,18.326,48617800.0
39-1022,First-Line Supervisors of Personal Service Workers,450.0,0.94,52890.0,First-Line Supervisors of Personal Service Workers,0.0407,114110,52360.0,Personal Care & Service,18.315,23800500.0
47-2132,"Insulation Workers, Mechanical",410.0,3.75,48840.0,"Insulation Workers, Mechanical",0.0439,25660,65530.0,Construction & Extraction,17.999000000000002,20024400.0
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",50.0,0.97,63370.0,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.3565,11220,73150.0,"Arts, Design & Media",17.825,3168500.0
11-9121,Natural Sciences Managers,290.0,0.64,134740.0,Natural Sciences Managers,0.0613,108690,180250.0,Management,17.777,39074600.0
11-9041,Architectural and Engineering Managers,570.0,0.61,174740.0,Architectural and Engineering Managers,0.0306,220260,181540.0,Management,17.442,99601800.0
19-3033,Clinical and Counseling Psychologists,290.0,0.88,88360.0,Clinical and Counseling Psychologists,0.0591,75990,112750.0,"Life, Physical & Social Science",17.139,25624400.0
29-1218,Obstetricians and Gynecologists,250.0,2.81,246600.0,Obstetricians and Gynecologists,0.0685,21260,279040.0,Healthcare Practitioners,17.125,61650000.0
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",510.0,0.85,64230.0,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.0333,140920,68500.0,Installation & Repair,16.983,32757300.0
17-3022,Civil Engineering Technologists and Technicians,210.0,0.71,67290.0,Civil Engineering Technologists and Technicians,0.0776,68520,68990.0,Architecture & Engineering,16.296,14130900.0
13-2081,"Tax Examiners and Collectors, and Revenue Agents",570.0,2.38,62560.0,"Tax Examiners and Collectors, and Revenue Agents",0.0275,56610,70520.0,Business & Financial,15.675,35659200.0
25-1126,"Philosophy and Religion Teachers, Postsecondary",70.0,0.78,95640.0,"Philosophy and Religion Teachers, Postsecondary",0.2197,20460,92040.0,Education & Library,15.379000000000001,6694800.0
49-2098,Security and Fire Alarm Systems Installers,500.0,1.37,59640.0,Security and Fire Alarm Systems Installers,0.0303,86340,60960.0,Installation & Repair,15.15,29820000.0
33-1011,First-Line Supervisors of Correctional Officers,470.0,2.07,72580.0,First-Line Supervisors of Correctional Officers,0.0315,53380,84380.0,Protective Service,14.805,34112600.0
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,820.0,1.53,38850.0,Veterinary Assistants and Laboratory Animal Caretakers,0.0179,126580,40340.0,Healthcare Support,14.677999999999999,31857000.0
29-2051,Dietetic Technicians,60.0,0.45,39170.0,Dietetic Technicians,0.2446,31560,40630.0,Healthcare Practitioners,14.676,2350200.0
17-2051,Civil Engineers,1680.0,1.07,99540.0,Civil Engineers,0.0081,367840,108670.0,Architecture & Engineering,13.607999999999999,167227200.0
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",200.0,1.28,55260.0,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.0636,37310,65860.0,Education & Library,12.72,11052000.0
41-9011,Demonstrators and Product Promoters,160.0,0.57,43680.0,Demonstrators and Product Promoters,0.0788,64520,45580.0,Sales,12.607999999999999,6988800.0
23-1012,Judicial Law Clerks,70.0,1.26,74860.0,Judicial Law Clerks,0.1704,13290,72950.0,Legal,11.927999999999999,5240200.0
43-5021,Couriers and Messengers,280.0,0.95,41260.0,Couriers and Messengers,0.0412,68640,40970.0,Office & Administrative Support,11.536,11552800.0
21-1021,"Child, Family, and School Social Workers",1530.0,0.92,64830.0,"Child, Family, and School Social Workers",0.0074,392550,64000.0,Community & Social Service,11.322000000000001,99189900.0
19-2012,Physicists,40.0,0.45,202250.0,Physicists,0.2727,20430,171180.0,"Life, Physical & Social Science",10.908,8090000.0
27-1014,Special Effects Artists and Animators,30.0,0.36,82000.0,Special Effects Artists and Animators,0.3571,19970,112870.0,"Arts, Design & Media",10.713,2460000.0
19-4099,"Life, Physical, and Social Science Technicians, All Other",110.0,0.36,64750.0,"Life, Physical, and Social Science Technicians, All Other",0.0955,73910,66280.0,"Life, Physical & Social Science",10.505,7122500.0
17-2061,Computer Hardware Engineers,70.0,0.23,133680.0,Computer Hardware Engineers,0.1453,76660,162670.0,Architecture & Engineering,10.171000000000001,9357600.0
23-1022,"Arbitrators, Mediators, and Conciliators",40.0,1.13,86820.0,"Arbitrators, Mediators, and Conciliators",0.2426,9210,91010.0,Legal,9.704,3472800.0
17-3023,Electrical and Electronic Engineering Technologists and Technicians,480.0,1.19,91090.0,Electrical and Electronic Engineering Technologists and Technicians,0.0202,95130,80680.0,Architecture & Engineering,9.696,43723200.0
43-9022,Word Processors and Typists,40.0,0.27,47720.0,Word Processors and Typists,0.2385,35010,51120.0,Office & Administrative Support,9.54,1908800.0
25-1125,"History Teachers, Postsecondary",90.0,1.09,95470.0,"History Teachers, Postsecondary",0.0994,18790,96580.0,Education & Library,8.946,8592300.0
11-9031,"Education and Childcare Administrators, Preschool and Daycare",220.0,0.72,56700.0,"Education and Childcare Administrators, Preschool and Daycare",0.0395,73660,64800.0,Management,8.69,12474000.0
11-2011,Advertising and Promotions Managers,50.0,0.59,166060.0,Advertising and Promotions Managers,0.1731,21470,154280.0,Management,8.655,8303000.0
29-9091,Athletic Trainers,160.0,1.27,62680.0,Athletic Trainers,0.0531,30500,66620.0,Healthcare Practitioners,8.496,10028800.0
17-2011,Aerospace Engineers,110.0,0.4,140140.0,Aerospace Engineers,0.0753,67710,142060.0,Architecture & Engineering,8.283000000000001,15415400.0
27-4031,"Camera Operators, Television, Video, and Film",50.0,0.59,59130.0,"Camera Operators, Television, Video, and Film",0.1651,21550,83210.0,"Arts, Design & Media",8.254999999999999,2956500.0
25-4011,Archivists,60.0,1.65,63740.0,Archivists,0.1348,7970,70640.0,Education & Library,8.088000000000001,3824400.0
43-4041,"Credit Authorizers, Checkers, and Clerks",60.0,1.08,56970.0,"Credit Authorizers, Checkers, and Clerks",0.1296,12030,51420.0,Office & Administrative Support,7.776,3418200.0
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",230.0,1.18,48350.0,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.0321,44980,47460.0,Production,7.382999999999999,11120500.0
17-1021,Cartographers and Photogrammetrists,90.0,1.43,82770.0,Cartographers and Photogrammetrists,0.08,14260,86690.0,Architecture & Engineering,7.2,7449300.0
19-3034,School Psychologists,150.0,0.54,85180.0,School Psychologists,0.0467,63940,99160.0,"Life, Physical & Social Science",7.005,12777000.0
15-2011,Actuaries,120.0,1.03,144150.0,Actuaries,0.0539,26670,141480.0,Computer & Mathematical,6.468,17298000.0
29-2035,Magnetic Resonance Imaging Technologists,160.0,0.88,93830.0,Magnetic Resonance Imaging Technologists,0.039,43390,96120.0,Healthcare Practitioners,6.24,15012800.0
11-3051,Industrial Production Managers,470.0,0.45,145090.0,Industrial Production Managers,0.0132,246250,134170.0,Management,6.204,68192300.0
27-2011,Actors,60.0,0.28,,Actors,0.1011,55000,,"Arts, Design & Media",6.066,
51-9161,Computer Numerically Controlled Tool Operators,280.0,0.39,53940.0,Computer Numerically Controlled Tool Operators,0.0215,169450,54320.0,Production,6.02,15103200.0
29-1122,Occupational Therapists,740.0,1.07,103370.0,Occupational Therapists,0.008,162450,101280.0,Healthcare Practitioners,5.92,76493800.0
27-4011,Audio and Video Technicians,330.0,1.09,54930.0,Audio and Video Technicians,0.0173,70230,64630.0,"Arts, Design & Media",5.709,18126900.0
27-1021,Commercial and Industrial Designers,130.0,0.91,93260.0,Commercial and Industrial Designers,0.0437,33490,93260.0,"Arts, Design & Media",5.681,12123800.0
47-2181,Roofers,330.0,0.57,50070.0,Roofers,0.0157,135490,58140.0,Construction & Extraction,5.180999999999999,16523100.0
17-3025,Environmental Engineering Technologists and Technicians,50.0,0.99,58570.0,Environmental Engineering Technologists and Technicians,0.1029,12190,64870.0,Architecture & Engineering,5.1450000000000005,2928500.0
51-5111,Prepress Technicians and Workers,50.0,0.52,50560.0,Prepress Technicians and Workers,0.1018,23840,50800.0,Production,5.09,2528000.0
19-1022,Microbiologists,50.0,0.58,97920.0,Microbiologists,0.0969,18940,97600.0,"Life, Physical & Social Science",4.845,4896000.0
51-9162,Computer Numerically Controlled Tool Programmers,40.0,0.33,71120.0,Computer Numerically Controlled Tool Programmers,0.1207,28500,72210.0,Production,4.828,2844800.0
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",230.0,0.21,37110.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0203,265500,37630.0,"Farming, Fishing & Forestry",4.669,8535300.0
17-2081,Environmental Engineers,130.0,0.81,107910.0,Environmental Engineers,0.0358,38340,112910.0,Architecture & Engineering,4.654,14028300.0
43-5011,Cargo and Freight Agents,280.0,0.67,53770.0,Cargo and Freight Agents,0.0165,97670,57230.0,Office & Administrative Support,4.62,15055600.0
21-2021,"Directors, Religious Activities and Education",30.0,0.36,74520.0,"Directors, Religious Activities and Education",0.153,22160,62100.0,Community & Social Service,4.59,2235600.0
19-3099,"Social Scientists and Related Workers, All Other",140.0,0.9,87120.0,"Social Scientists and Related Workers, All Other",0.0327,37100,107690.0,"Life, Physical & Social Science",4.578,12196800.0
29-2033,Nuclear Medicine Technologists,80.0,1.1,97520.0,Nuclear Medicine Technologists,0.0513,17080,105160.0,Healthcare Practitioners,4.104,7801600.0
23-2093,"Title Examiners, Abstractors, and Searchers",180.0,0.89,54870.0,"Title Examiners, Abstractors, and Searchers",0.0216,48580,62350.0,Legal,3.8880000000000003,9876600.0
53-2031,Flight Attendants,40.0,0.07,75480.0,Flight Attendants,0.0913,131650,77440.0,Transportation & Material Moving,3.652,3019200.0
17-3012,Electrical and Electronics Drafters,40.0,0.54,66170.0,Electrical and Electronics Drafters,0.0889,17920,81280.0,Architecture & Engineering,3.556,2646800.0
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",80.0,0.68,44660.0,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.0425,26000,51380.0,Production,3.4000000000000004,3572800.0
19-1023,Zoologists and Wildlife Biologists,40.0,0.55,78370.0,Zoologists and Wildlife Biologists,0.0606,18120,83020.0,"Life, Physical & Social Science",2.424,3134800.0
43-9071,"Office Machine Operators, Except Computer",100.0,0.9,41830.0,"Office Machine Operators, Except Computer",0.0239,25130,43220.0,Office & Administrative Support,2.39,4183000.0
19-2042,"Geoscientists, Except Hydrologists and Geographers",50.0,0.5,86860.0,"Geoscientists, Except Hydrologists and Geographers",0.043,23470,116150.0,"Life, Physical & Social Science",2.15,4343000.0
19-1013,Soil and Plant Scientists,40.0,0.63,77150.0,Soil and Plant Scientists,0.0513,15730,87720.0,"Life, Physical & Social Science",2.052,3086000.0
27-4012,Broadcast Technicians,100.0,1.15,50430.0,Broadcast Technicians,0.0197,21110,67960.0,"Arts, Design & Media",1.97,5043000.0
31-9095,Pharmacy Aides,80.0,0.5,37000.0,Pharmacy Aides,0.022,39530,40450.0,Healthcare Support,1.7599999999999998,2960000.0
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",40.0,0.27,,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.0405,33160,90630.0,Production,1.62,
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",70.0,0.6,108250.0,"Healthcare Diagnosing or Treating Practitioners, All Other",0.0222,28630,127660.0,Healthcare Practitioners,1.554,7577500.0
51-8013,Power Plant Operators,60.0,0.51,67130.0,Power Plant Operators,0.0257,29320,99790.0,Production,1.542,4027800.0
19-2021,Atmospheric and Space Scientists,40.0,0.98,119260.0,Atmospheric and Space Scientists,0.038,10000,106110.0,"Life, Physical & Social Science",1.52,4770400.0
27-2041,Music Directors and Composers,40.0,0.79,85330.0,Music Directors and Composers,0.0368,12540,90470.0,"Arts, Design & Media",1.472,3413200.0
19-4071,Forest and Conservation Technicians,50.0,0.41,44350.0,Forest and Conservation Technicians,0.0221,30410,59060.0,"Life, Physical & Social Science",1.105,2217500.0
25-2059,"Special Education Teachers, All Other",40.0,0.24,71120.0,"Special Education Teachers, All Other",0.0257,33930,79750.0,Education & Library,1.028,2844800.0
25-2051,"Special Education Teachers, Preschool",80.0,0.66,64140.0,"Special Education Teachers, Preschool",0.0058,29510,76380.0,Education & Library,0.46399999999999997,5131200.0
11-9171,Funeral Home Managers,40.0,0.68,88010.0,Funeral Home Managers,0.0108,13910,92840.0,Management,0.43200000000000005,3520400.0
17-1022,Surveyors,160.0,0.75,79720.0,Surveyors,0.0022,50830,80570.0,Architecture & Engineering,0.35200000000000004,12755200.0
29-2057,Ophthalmic Medical Technicians,350.0,1.15,44180.0,Ophthalmic Medical Technicians,0.0,71010,47060.0,Healthcare Practitioners,0.0,15463000.0
29-2061,Licensed Practical and Licensed Vocational Nurses,2570.0,0.93,66110.0,Licensed Practical and Licensed Vocational Nurses,0.0,648410,67050.0,Healthcare Practitioners,0.0,169902700.0
29-2081,"Opticians, Dispensing",310.0,1.0,53960.0,"Opticians, Dispensing",0.0,73530,51770.0,Healthcare Practitioners,0.0,16727600.0
29-2091,Orthotists and Prosthetists,80.0,2.07,91190.0,Orthotists and Prosthetists,0.0,9390,83740.0,Healthcare Practitioners,0.0,7295200.0
29-2092,Hearing Aid Specialists,30.0,0.67,62880.0,Hearing Aid Specialists,0.0,11270,66370.0,Healthcare Practitioners,0.0,1886400.0
31-9093,Medical Equipment Preparers,300.0,0.91,46150.0,Medical Equipment Preparers,0.0,77420,50510.0,Healthcare Support,0.0,13845000.0
29-9093,Surgical Assistants,340.0,3.56,72600.0,Surgical Assistants,0.0,22270,72710.0,Healthcare Practitioners,0.0,24684000.0
29-9099,"Healthcare Practitioners and Technical Workers, All Other",80.0,0.54,81430.0,"Healthcare Practitioners and Technical Workers, All Other",0.0,35010,76720.0,Healthcare Practitioners,0.0,6514400.0
29-2031,Cardiovascular Technologists and Technicians,380.0,1.43,68500.0,Cardiovascular Technologists and Technicians,0.0,62960,76940.0,Healthcare Practitioners,0.0,26030000.0
29-2032,Diagnostic Medical Sonographers,440.0,1.16,91820.0,Diagnostic Medical Sonographers,0.0,90160,97240.0,Healthcare Practitioners,0.0,40400800.0
31-9091,Dental Assistants,1610.0,0.98,47740.0,Dental Assistants,0.0,387790,50200.0,Healthcare Support,0.0,76861400.0
29-2034,Radiologic Technologists and Technicians,1130.0,1.16,81670.0,Radiologic Technologists and Technicians,0.0,230490,83840.0,Healthcare Practitioners,0.0,92287100.0
31-9011,Massage Therapists,490.0,1.16,68850.0,Massage Therapists,0.0,98790,63830.0,Healthcare Support,0.0,33736500.0
29-2053,Psychiatric Technicians,610.0,0.91,47330.0,Psychiatric Technicians,0.0,156960,46610.0,Healthcare Practitioners,0.0,28871300.0
29-2055,Surgical Technologists,380.0,0.76,64570.0,Surgical Technologists,0.0,117460,68710.0,Healthcare Practitioners,0.0,24536600.0
29-2056,Veterinary Technologists and Technicians,420.0,0.77,54880.0,Veterinary Technologists and Technicians,0.0,129140,49120.0,Healthcare Practitioners,0.0,23049600.0
29-1126,Respiratory Therapists,630.0,1.07,85780.0,Respiratory Therapists,0.0,139790,87300.0,Healthcare Practitioners,0.0,54041400.0
29-1127,Speech-Language Pathologists,770.0,0.98,97870.0,Speech-Language Pathologists,0.0,183390,98170.0,Healthcare Practitioners,0.0,75359900.0
29-1128,Exercise Physiologists,60.0,1.7,69110.0,Exercise Physiologists,0.0,8560,60940.0,Healthcare Practitioners,0.0,4146600.0
29-1215,Family Medicine Physicians,410.0,0.9,250370.0,Family Medicine Physicians,0.0,107510,255820.0,Healthcare Practitioners,0.0,102651700.0
29-1221,"Pediatricians, General",130.0,0.77,204310.0,"Pediatricians, General",0.0,39390,212110.0,Healthcare Practitioners,0.0,26560300.0
29-1223,Psychiatrists,50.0,0.45,271380.0,Psychiatrists,0.0,27980,269940.0,Healthcare Practitioners,0.0,13569000.0
29-1292,Dental Hygienists,780.0,0.83,105660.0,Dental Hygienists,0.0,222740,98990.0,Healthcare Practitioners,0.0,82414800.0
31-2022,Physical Therapist Aides,250.0,1.2,34140.0,Physical Therapist Aides,0.0,48150,36430.0,Healthcare Support,0.0,8535000.0
31-2021,Physical Therapist Assistants,560.0,1.18,71380.0,Physical Therapist Assistants,0.0,112430,68730.0,Healthcare Support,0.0,39972800.0
29-1011,Chiropractors,70.0,0.41,81480.0,Chiropractors,0.0,39630,90520.0,Healthcare Practitioners,0.0,5703600.0
29-1041,Optometrists,180.0,1.0,145700.0,Optometrists,0.0,42790,141550.0,Healthcare Practitioners,0.0,26226000.0
29-1071,Physician Assistants,620.0,0.9,127600.0,Physician Assistants,0.0,162150,141280.0,Healthcare Practitioners,0.0,79112000.0
29-1081,Podiatrists,40.0,1.09,158030.0,Podiatrists,0.0,9680,175480.0,Healthcare Practitioners,0.0,6321200.0
31-2011,Occupational Therapy Assistants,210.0,0.94,73900.0,Occupational Therapy Assistants,0.0,51290,70710.0,Healthcare Support,0.0,15519000.0
35-2011,"Cooks, Fast Food",1180.0,0.43,32730.0,"Cooks, Fast Food",0.0,641070,32390.0,Food Preparation & Serving,0.0,38621400.0
35-2012,"Cooks, Institution and Cafeteria",1550.0,0.83,37980.0,"Cooks, Institution and Cafeteria",0.0,441050,38810.0,Food Preparation & Serving,0.0,58869000.0
27-1025,Interior Designers,400.0,1.33,66730.0,Interior Designers,0.0,71500,74540.0,"Arts, Design & Media",0.0,26692000.0
27-1026,Merchandise Displayers and Window Trimmers,700.0,1.0,41570.0,Merchandise Displayers and Window Trimmers,0.0,165220,42830.0,"Arts, Design & Media",0.0,29099000.0
27-1027,Set and Exhibit Designers,30.0,0.73,56800.0,Set and Exhibit Designers,0.0,10630,83160.0,"Arts, Design & Media",0.0,1704000.0
31-1132,Orderlies,100.0,0.47,38920.0,Orderlies,0.0,52440,40660.0,Healthcare Support,0.0,3892000.0
27-2022,Coaches and Scouts,1150.0,1.08,,Coaches and Scouts,0.0,248950,60160.0,"Arts, Design & Media",0.0,
31-1131,Nursing Assistants,6660.0,1.08,41770.0,Nursing Assistants,0.0,1448910,42700.0,Healthcare Support,0.0,278188200.0
11-9051,Food Service Managers,510.0,0.5,78900.0,Food Service Managers,0.0,238430,74880.0,Management,0.0,40239000.0
51-4121,"Welders, Cutters, Solderers, and Brazers",1260.0,0.71,59720.0,"Welders, Cutters, Solderers, and Brazers",0.0,416210,56760.0,Production,0.0,75247200.0
33-9011,Animal Control Workers,60.0,1.15,48350.0,Animal Control Workers,0.0,12070,48440.0,Protective Service,0.0,2901000.0
33-9021,Private Detectives and Investigators,130.0,0.85,63490.0,Private Detectives and Investigators,0.0,35580,60150.0,Protective Service,0.0,8253700.0
33-9032,Security Guards,4630.0,0.85,42150.0,Security Guards,0.0,1283470,42470.0,Protective Service,0.0,195154500.0
33-9091,Crossing Guards and Flaggers,390.0,0.98,35870.0,Crossing Guards and Flaggers,0.0,94360,43350.0,Protective Service,0.0,13989300.0
33-9093,Transportation Security Screeners,160.0,0.74,63580.0,Transportation Security Screeners,0.0,50290,64310.0,Protective Service,0.0,10172800.0
35-1011,Chefs and Head Cooks,540.0,0.64,65130.0,Chefs and Head Cooks,0.0,200040,66700.0,Food Preparation & Serving,0.0,35170200.0
51-4111,Tool and Die Makers,30.0,0.14,66030.0,Tool and Die Makers,0.0,56930,66860.0,Production,0.0,1980900.0
27-1023,Floral Designers,110.0,0.63,39940.0,Floral Designers,0.0,40590,39520.0,"Arts, Design & Media",0.0,4393400.0
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",130.0,0.24,50030.0,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0,124590,50030.0,Production,0.0,6503900.0
31-9097,Phlebotomists,640.0,1.04,46230.0,Phlebotomists,0.0,143540,45520.0,Healthcare Support,0.0,29587200.0
31-9099,"Healthcare Support Workers, All Other",440.0,0.94,47890.0,"Healthcare Support Workers, All Other",0.0,109740,50810.0,Healthcare Support,0.0,21071600.0
33-1012,First-Line Supervisors of Police and Detectives,690.0,1.05,107600.0,First-Line Supervisors of Police and Detectives,0.0,154610,112190.0,Protective Service,0.0,74244000.0
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,500.0,1.18,101930.0,First-Line Supervisors of Firefighting and Prevention Workers,0.0,99140,96930.0,Protective Service,0.0,50965000.0
33-2011,Firefighters,2020.0,1.37,62440.0,Firefighters,0.0,345990,63630.0,Protective Service,0.0,126128800.0
33-3011,Bailiffs,30.0,0.43,64130.0,Bailiffs,0.0,17310,61660.0,Protective Service,0.0,1923900.0
33-3012,Correctional Officers and Jailers,1930.0,1.19,55660.0,Correctional Officers and Jailers,0.0,380500,63630.0,Protective Service,0.0,107423800.0
25-2032,"Career/Technical Education Teachers, Secondary School",490.0,1.05,68340.0,"Career/Technical Education Teachers, Secondary School",0.0,111420,72680.0,Education & Library,0.0,33486600.0
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",110.0,0.17,39150.0,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.0,150470,45960.0,Production,0.0,4306500.0
51-4041,Machinists,650.0,0.53,67950.0,Machinists,0.0,287050,59320.0,Production,0.0,44167500.0
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",100.0,0.36,47960.0,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0,67000,48170.0,Production,0.0,4796000.0
25-4013,Museum Technicians and Conservators,40.0,0.82,56300.0,Museum Technicians and Conservators,0.0,12310,57410.0,Education & Library,0.0,2252000.0
25-9021,Farm and Home Management Educators,40.0,1.04,78640.0,Farm and Home Management Educators,0.0,8220,61060.0,Education & Library,0.0,3145600.0
19-5011,Occupational Health and Safety Specialists,690.0,1.15,90130.0,Occupational Health and Safety Specialists,0.0,140610,93860.0,"Life, Physical & Social Science",0.0,62189700.0
19-5012,Occupational Health and Safety Technicians,180.0,1.39,62850.0,Occupational Health and Safety Technicians,0.0,30590,68120.0,"Life, Physical & Social Science",0.0,11313000.0
39-4031,"Morticians, Undertakers, and Funeral Arrangers",100.0,0.93,57040.0,"Morticians, Undertakers, and Funeral Arrangers",0.0,25100,58160.0,Personal Care & Service,0.0,5704000.0
39-5092,Manicurists and Pedicurists,740.0,1.14,39430.0,Manicurists and Pedicurists,0.0,152770,38570.0,Personal Care & Service,0.0,29178200.0
39-5094,Skincare Specialists,330.0,1.08,45930.0,Skincare Specialists,0.0,72890,51850.0,Personal Care & Service,0.0,15156900.0
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",50.0,0.82,77070.0,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.0,13150,87550.0,Education & Library,0.0,3853500.0
25-1113,"Social Work Teachers, Postsecondary",170.0,3.23,77740.0,"Social Work Teachers, Postsecondary",0.0,12610,83940.0,Education & Library,0.0,13215800.0
25-2011,"Preschool Teachers, Except Special Education",2060.0,1.01,38980.0,"Preschool Teachers, Except Special Education",0.0,478780,43030.0,Education & Library,0.0,80298800.0
25-2012,"Kindergarten Teachers, Except Special Education",710.0,1.53,61570.0,"Kindergarten Teachers, Except Special Education",0.0,108870,69370.0,Education & Library,0.0,43714700.0
25-2023,"Career/Technical Education Teachers, Middle School",60.0,0.77,68130.0,"Career/Technical Education Teachers, Middle School",0.0,16870,71590.0,Education & Library,0.0,4087800.0
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",9270.0,0.99,35220.0,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.0,2209760,38760.0,Building & Grounds,0.0,326489400.0
37-2012,Maids and Housekeeping Cleaners,3280.0,0.9,33850.0,Maids and Housekeeping Cleaners,0.0,860670,37080.0,Building & Grounds,0.0,111028000.0
