occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill,emp_23,emp_24,lq_23,chg,pct,family,replacement
13-2053,Insurance Underwriters,950.0,2.11,92670.0,Insurance Underwriters,0.0625,105420,93700.0,Business & Financial,59.375,88036500.0,700.0,970.0,1.61,250.0,35.714285714285715,Business & Financial,156.82229532222732
35-3011,Bartenders,2110.0,0.66,51750.0,Bartenders,0.0,756390,40790.0,Food Preparation & Serving,0.0,109192500.0,1860.0,2640.0,0.61,250.0,13.440860215053764,Food Preparation & Serving,87.57476834925288
29-2034,Radiologic Technologists and Technicians,1130.0,1.16,81670.0,Radiologic Technologists and Technicians,0.0,230490,83840.0,Healthcare Practitioners,0.0,92287100.0,890.0,1100.0,0.95,240.0,26.96629213483146,Healthcare Practitioners,138.20736871658903
29-1127,Speech-Language Pathologists,770.0,0.98,97870.0,Speech-Language Pathologists,0.0,183390,98170.0,Healthcare Practitioners,0.0,75359900.0,530.0,720.0,0.72,240.0,45.283018867924525,Healthcare Practitioners,165.62207880852907
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2700.0,1.55,58490.0,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.0191,409670,64780.0,Installation & Repair,51.57,157923000.0,2460.0,2430.0,1.45,240.0,9.75609756097561,Installation & Repair,98.98064156034397
41-2022,Parts Salespersons,1320.0,1.15,43780.0,Parts Salespersons,0.0,270070,43830.0,Sales,0.0,57789600.0,1090.0,1310.0,0.98,230.0,21.10091743119266,Sales,74.0874078904404
25-3021,Self-Enrichment Teachers,1440.0,1.02,52960.0,Self-Enrichment Teachers,0.0662,332110,54740.0,Education & Library,95.328,76262400.0,1210.0,1230.0,1.04,230.0,19.00826446280992,Education & Library,89.6224102758731
39-9032,Recreation Workers,1320.0,0.94,37350.0,Recreation Workers,0.0,331490,38520.0,Personal Care & Service,0.0,49302000.0,1090.0,1350.0,0.91,230.0,21.10091743119266,Personal Care & Service,63.20613715641729
51-6011,Laundry and Dry-Cleaning Workers,1010.0,1.2,32420.0,Laundry and Dry-Cleaning Workers,0.0,198040,34920.0,Production,0.0,32744200.0,790.0,1060.0,1.0,220.0,27.848101265822784,Production,54.86326550498122
17-2071,Electrical Engineers,1160.0,1.38,118040.0,Electrical Engineers,0.059,198750,125100.0,Architecture & Engineering,68.44,136926400.0,940.0,830.0,1.19,220.0,23.404255319148938,Architecture & Engineering,199.75508513904944
51-3021,Butchers and Meat Cutters,550.0,0.96,40540.0,Butchers and Meat Cutters,0.0,136430,42380.0,Production,0.0,22297000.0,340.0,360.0,0.59,210.0,61.76470588235294,Production,68.6044658720524
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,4460.0,1.29,79030.0,First-Line Supervisors of Construction Trades and Extraction Workers,0.0296,812210,86450.0,Construction & Extraction,132.01600000000002,352473800.0,4260.0,4370.0,1.28,200.0,4.694835680751174,Construction & Extraction,133.73978633123585
53-3051,"Bus Drivers, School",2070.0,1.21,49290.0,"Bus Drivers, School",0.0,402930,48430.0,Transportation & Material Moving,0.0,102030300.0,1880.0,1940.0,1.19,190.0,10.106382978723405,Transportation & Material Moving,83.41179385381012
37-3011,Landscaping and Groundskeeping Workers,4360.0,1.08,39940.0,Landscaping and Groundskeeping Workers,0.0,952640,42290.0,Building & Grounds,0.0,174138400.0,4170.0,4390.0,1.05,190.0,4.556354916067146,Building & Grounds,67.58910623901758
47-2211,Sheet Metal Workers,610.0,1.2,52490.0,Sheet Metal Workers,0.0,119770,67850.0,Construction & Extraction,0.0,32018900.0,420.0,450.0,0.85,190.0,45.23809523809524,Construction & Extraction,88.82704522999582
35-3041,"Food Servers, Nonrestaurant",1250.0,1.0,35250.0,"Food Servers, Nonrestaurant",0.0,293900,36140.0,Food Preparation & Serving,0.0,44062500.0,1070.0,1240.0,0.94,180.0,16.822429906542055,Food Preparation & Serving,59.65237844079544
27-2022,Coaches and Scouts,1150.0,1.08,,Coaches and Scouts,0.0,248950,60160.0,"Arts, Design & Media",0.0,,970.0,1050.0,0.95,180.0,18.556701030927837,"Arts, Design & Media",
39-2021,Animal Caretakers,1540.0,1.35,35130.0,Animal Caretakers,0.0,266910,37300.0,Personal Care & Service,0.0,54100200.0,1360.0,1430.0,1.19,180.0,13.235294117647058,Personal Care & Service,59.44930651418847
47-2111,Electricians,3600.0,1.12,62360.0,Electricians,0.0,757220,71490.0,Construction & Extraction,0.0,224496000.0,3430.0,3300.0,1.13,170.0,4.956268221574344,Construction & Extraction,105.52971119341854
31-2021,Physical Therapist Assistants,560.0,1.18,71380.0,Physical Therapist Assistants,0.0,112430,68730.0,Healthcare Support,0.0,39972800.0,390.0,430.0,0.87,170.0,43.58974358974359,Healthcare Support,120.79395101004194
51-5112,Printing Press Operators,650.0,1.07,44830.0,Printing Press Operators,0.0,144260,47360.0,Production,0.0,29139500.0,490.0,490.0,0.76,160.0,32.6530612244898,Production,75.86428724825133
11-9111,Medical and Health Services Managers,1760.0,0.7,143730.0,Medical and Health Services Managers,0.0659,597080,140970.0,Management,115.984,252964800.0,1620.0,1750.0,0.74,140.0,8.641975308641975,Management,243.22940009349017
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",580.0,1.12,28700.0,"Ushers, Lobby Attendants, and Ticket Takers",0.0,121770,33080.0,Personal Care & Service,0.0,16646000.0,440.0,460.0,0.87,140.0,31.818181818181817,Personal Care & Service,48.56803578016536
33-1012,First-Line Supervisors of Police and Detectives,690.0,1.05,107600.0,First-Line Supervisors of Police and Detectives,0.0,154610,112190.0,Protective Service,0.0,74244000.0,550.0,660.0,0.94,140.0,25.454545454545453,Protective Service,182.08782752424366
19-4021,Biological Technicians,500.0,1.69,62090.0,Biological Technicians,0.0599,69620,61380.0,"Life, Physical & Social Science",29.95,31045000.0,360.0,370.0,1.09,140.0,38.888888888888886,"Life, Physical & Social Science",105.07279935855287
19-2041,"Environmental Scientists and Specialists, Including Health",780.0,2.05,84450.0,"Environmental Scientists and Specialists, Including Health",0.0548,89250,91680.0,"Life, Physical & Social Science",42.744,65871000.0,640.0,830.0,1.86,140.0,21.875,"Life, Physical & Social Science",142.91186834965035
51-4121,"Welders, Cutters, Solderers, and Brazers",1260.0,0.71,59720.0,"Welders, Cutters, Solderers, and Brazers",0.0,416210,56760.0,Production,0.0,75247200.0,1120.0,1240.0,0.62,140.0,12.5,Production,101.06212880806535
39-5092,Manicurists and Pedicurists,740.0,1.14,39430.0,Manicurists and Pedicurists,0.0,152770,38570.0,Personal Care & Service,0.0,29178200.0,610.0,770.0,0.99,130.0,21.311475409836067,Personal Care & Service,66.72605055093798
49-3023,Automotive Service Technicians and Mechanics,2930.0,0.98,61160.0,Automotive Service Technicians and Mechanics,0.0,704640,56420.0,Installation & Repair,0.0,179198800.0,2800.0,2830.0,0.97,130.0,4.642857142857143,Installation & Repair,103.49899192734891
29-1122,Occupational Therapists,740.0,1.07,103370.0,Occupational Therapists,0.008,162450,101280.0,Healthcare Practitioners,5.92,76493800.0,610.0,720.0,0.98,130.0,21.311475409836067,Healthcare Practitioners,174.9295421113482
29-1171,Nurse Practitioners,1440.0,1.05,123420.0,Nurse Practitioners,0.0944,323040,137300.0,Healthcare Practitioners,135.936,177724800.0,1310.0,1100.0,1.1,130.0,9.923664122137405,Healthcare Practitioners,208.85947651526163
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2980.0,1.14,83910.0,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.1015,617500,85220.0,Installation & Repair,302.47,250051800.0,2850.0,2960.0,1.13,130.0,4.56140350877193,Installation & Repair,141.99804467991902
53-7061,Cleaners of Vehicles and Equipment,1280.0,0.79,33970.0,Cleaners of Vehicles and Equipment,0.0,380430,36980.0,Transportation & Material Moving,0.0,43481600.0,1160.0,1270.0,0.74,120.0,10.344827586206897,Transportation & Material Moving,57.48627789032116
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",1090.0,2.43,56630.0,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.0,105200,59430.0,Office & Administrative Support,0.0,61726700.0,970.0,1170.0,1.96,120.0,12.371134020618557,Office & Administrative Support,95.83302669793605
11-3121,Human Resources Managers,960.0,1.02,163900.0,Human Resources Managers,0.0,220660,164230.0,Management,0.0,157344000.0,840.0,910.0,0.98,120.0,14.285714285714286,Management,277.36240642401054
