occ_code,bls_title,emp_23,lq_23,observed_exposure,emp_24,lq_24,emp_25,lq_25,pct,g
15-1212,Information Security Analysts,1650.0,2.21,0.4859,1550.0,2.04,1690.0,2.09,2.4242424242424243,15
15-1221,Computer and Information Research Scientists,40.0,0.25,0.3404,80.0,0.49,160.0,1.0,300.0,15
15-1231,Computer Network Support Specialists,840.0,1.25,0.2867,520.0,0.84,610.0,0.98,-27.38095238095238,15
15-1232,Computer User Support Specialists,2690.0,0.92,0.4685,2520.0,0.85,2350.0,0.77,-12.639405204460967,15
15-1241,Computer Network Architects,890.0,1.19,0.1987,840.0,1.12,870.0,1.14,-2.247191011235955,15
15-1242,Database Administrators,640.0,1.98,0.3315,580.0,1.89,600.0,2.0,-6.25,15
15-1243,Database Architects,390.0,1.52,0.5787,500.0,1.82,440.0,1.53,12.820512820512821,15
15-1244,Network and Computer Systems Administrators,1670.0,1.21,0.3373,1570.0,1.17,1660.0,1.24,-0.5988023952095808,15
15-1251,Computer Programmers,310.0,0.61,0.7451,380.0,0.82,310.0,0.79,0.0,15
15-1252,Software Developers,7890.0,1.12,0.288,6990.0,1.0,7680.0,1.07,-2.661596958174905,15
15-1253,Software Quality Assurance Analysts and Testers,800.0,0.92,0.5195,680.0,0.8,720.0,0.9,-10.0,15
15-1255,Web and Digital Interface Designers,440.0,0.93,0.249,330.0,0.69,230.0,0.48,-47.72727272727273,15
15-1299,"Computer Occupations, All Other",1180.0,0.63,0.3106,1130.0,0.61,1280.0,0.69,8.474576271186441,15
15-2011,Actuaries,180.0,1.62,0.0539,160.0,1.35,120.0,1.03,-33.333333333333336,15
15-2031,Operations Research Analysts,1300.0,2.59,0.4288,1070.0,2.34,1020.0,2.22,-21.53846153846154,15
15-2041,Statisticians,200.0,1.58,0.2107,170.0,1.38,160.0,1.27,-20.0,15
15-2051,Data Scientists,750.0,0.91,0.4605,880.0,0.89,1050.0,0.94,40.0,15
17-1011,"Architects, Except Landscape and Naval",330.0,0.71,0.0784,430.0,0.92,410.0,0.9,24.242424242424242,17
17-1012,Landscape Architects,100.0,1.13,0.0,60.0,0.71,60.0,0.7,-40.0,17
17-1021,Cartographers and Photogrammetrists,120.0,2.29,0.08,90.0,1.61,90.0,1.43,-25.0,17
17-1022,Surveyors,300.0,1.37,0.0022,190.0,0.85,160.0,0.75,-46.666666666666664,17
17-2051,Civil Engineers,2090.0,1.5,0.0081,1720.0,1.15,1680.0,1.07,-19.617224880382775,17
17-2061,Computer Hardware Engineers,90.0,0.25,0.1453,100.0,0.31,70.0,0.23,-22.22222222222222,17
17-2071,Electrical Engineers,940.0,1.19,0.059,830.0,1.03,1160.0,1.38,23.404255319148938,17
17-2072,"Electronics Engineers, Except Computer",250.0,0.62,0.0999,190.0,0.47,190.0,0.47,-24.0,17
17-2081,Environmental Engineers,120.0,0.73,0.0358,170.0,1.07,130.0,0.81,8.333333333333334,17
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",60.0,0.59,0.0,50.0,0.47,50.0,0.52,-16.666666666666668,17
17-2112,Industrial Engineers,670.0,0.47,0.0367,830.0,0.56,740.0,0.48,10.447761194029852,17
17-2131,Materials Engineers,100.0,0.96,0.0,190.0,1.97,200.0,2.07,100.0,17
17-2141,Mechanical Engineers,550.0,0.46,0.0813,560.0,0.46,640.0,0.51,16.363636363636363,17
17-2199,"Engineers, All Other",310.0,0.48,0.0659,400.0,0.63,330.0,0.51,6.451612903225806,17
17-3011,Architectural and Civil Drafters,320.0,0.68,0.0,390.0,0.84,380.0,0.86,18.75,17
17-3012,Electrical and Electronics Drafters,60.0,0.64,0.0889,60.0,0.74,40.0,0.54,-33.333333333333336,17
17-3013,Mechanical Drafters,70.0,0.38,0.0,70.0,0.4,100.0,0.6,42.857142857142854,17
17-3022,Civil Engineering Technologists and Technicians,340.0,1.25,0.0776,240.0,0.92,210.0,0.71,-38.23529411764706,17
17-3023,Electrical and Electronic Engineering Technologists and Technicians,460.0,1.11,0.0202,510.0,1.31,480.0,1.19,4.3478260869565215,17
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,60.0,0.87,0.0,50.0,0.82,40.0,0.66,-33.333333333333336,17
17-3025,Environmental Engineering Technologists and Technicians,50.0,0.8,0.1029,70.0,1.4,50.0,0.99,0.0,17
17-3026,Industrial Engineering Technologists and Technicians,110.0,0.36,0.0,140.0,0.46,170.0,0.54,54.54545454545455,17
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",140.0,0.48,0.0,140.0,0.51,100.0,0.41,-28.571428571428573,17
17-3031,Surveying and Mapping Technicians,340.0,1.41,0.0,380.0,1.56,450.0,1.83,32.35294117647059,17
19-1013,Soil and Plant Scientists,70.0,0.99,0.0513,60.0,0.81,40.0,0.63,-42.857142857142854,19
19-1023,Zoologists and Wildlife Biologists,40.0,0.6,0.0606,50.0,0.66,40.0,0.55,0.0,19
19-1029,"Biological Scientists, All Other",150.0,0.58,0.2452,120.0,0.46,140.0,0.58,-6.666666666666667,19
19-1031,Conservation Scientists,40.0,0.46,0.0,80.0,0.73,60.0,0.57,50.0,19
19-1032,Foresters,60.0,1.47,0.0,60.0,1.39,70.0,1.49,16.666666666666668,19
19-1041,Epidemiologists,70.0,1.51,0.0,80.0,1.67,100.0,1.87,42.857142857142854,19
19-2031,Chemists,270.0,0.74,0.2614,230.0,0.65,320.0,0.9,18.51851851851852,19
19-2041,"Environmental Scientists and Specialists, Including Health",640.0,1.86,0.0548,830.0,2.31,780.0,2.05,21.875,19
19-2042,"Geoscientists, Except Hydrologists and Geographers",100.0,0.94,0.043,60.0,0.6,50.0,0.5,-50.0,19
19-3011,Economists,150.0,2.07,0.2418,160.0,2.44,120.0,1.59,-20.0,19
19-3033,Clinical and Counseling Psychologists,250.0,0.82,0.0591,420.0,1.37,290.0,0.88,16.0,19
19-3034,School Psychologists,150.0,0.57,0.0467,150.0,0.55,150.0,0.54,0.0,19
